"","key","fscorea","fscoreb","fscorea_fscoreb","fscoreb_fscorea","away_win","home_win","teamaspread","overunder","teambspread","teama_vegas_fscore","teamb_vegas_fscore","scorea","scoreb","timeleft","teama","teamb","scorea_scoreb","date","scoreb_scorea","pct_complete","pct_left","cf1","cf2","teama_adj_fscore","teamb_adj_fscore","pfscoreb_pfscorea"
"80","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,25,32,32.1166666667,"cha","tor",-7,2016-04-05,7,33.0902777777083,66.9097222222917,4.27084292216741,0.0729679768695904,90.7388020834016,100.415190972293,9.67638888889167
"81","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,26,36,"cha","tor",-10,2016-04-05,10,25,75,5.76390417704235,0.0898687739105128,89.6875,102.6875,13
"82","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,42,52,24.65,"cha","tor",-10,2016-04-05,10,48.6458333333333,51.3541666666667,6.96029456589918,0.147018086848257,92.45546875,104.509635416667,12.0541666666667
"83","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,42,56,24.2,"cha","tor",-14,2016-04-05,14,49.5833333333333,50.4166666666667,9.83415102160779,0.210812685424321,91.534375,107.551041666667,16.0166666666667
"84","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,4,4,46.7,"cha","tor",0,2016-04-05,0,2.70833333333333,97.2916666666667,0,0,99.5890625,103.480729166667,3.89166666666667
"85","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,11,16,40.5166666667,"cha","tor",-5,2016-04-05,5,15.5902777777083,84.4097222222917,2.71707476588329,0.0385358577478468,93.9325520834016,102.308940972293,8.37638888889167
"86","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,53,71,14.7333333333,"cha","tor",-18,2016-04-05,18,69.305555555625,30.694444444375,16.1789809782416,0.516494898000251,83.1572916665984,102.385069444373,19.227777777775
"87","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,22,32,33.3166666667,"cha","tor",-10,2016-04-05,10,30.5902777777083,69.4097222222917,5.99072156678998,0.099387081636425,90.1950520834016,102.971440972293,12.7763888888917
"88","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,27,35.3666666667,"cha","tor",-8,2016-04-05,8,26.319444444375,73.680555555625,4.65208891163535,0.0735727503216711,91.3911458334016,102.338368055627,10.947222222225
"89","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,66,75,8.93333333333,"cha","tor",-9,2016-04-05,9,81.3888888888958,18.6111111111042,10.3616490121219,0.494619371400238,84.2854166666598,94.029861111104,9.74444444444416
"90","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,66,79,7.01666666667,"cha","tor",-13,2016-04-05,13,85.3819444444375,14.6180555555625,16.8572321998695,0.977583669860544,80.3622395833401,93.9469618055627,13.5847222222225
"91","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,90,96,0.1,"cha","tor",-6,2016-04-05,6,99.7916666666667,0.208333333333329,44.31293675256,100.774379546078,90.2046875,96.2130208333333,6.00833333333333
"92","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,6,6,45.7,"cha","tor",0,2016-04-05,0,4.79166666666666,95.2083333333333,0,0,99.5421875,103.350520833333,3.80833333333332
"93","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,26,35,31.1833333333,"cha","tor",-9,2016-04-05,9,35.0347222222917,64.9652777777083,5.57234297963111,0.0974814611602163,89.8283854165984,101.426996527707,11.5986111111083
"94","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,28,34.4333333333,"cha","tor",-9,2016-04-05,9,28.2638888889583,71.7361111110417,5.30381243955774,0.0856968664507425,89.4807291665984,101.35017361104,11.8694444444417
"95","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,38.75,"cha","tor",-3,2016-04-05,3,19.2708333333333,80.7291666666667,1.66688104272604,0.0245008293404036,94.31640625,100.545572916667,6.22916666666666
"96","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,8,44.8,"cha","tor",1,2016-04-05,-1,6.66666666666667,93.3333333333333,-0.516857412677879,-0.00676348008642925,100.7,103.433333333333,2.73333333333333
"97","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,80,91,2.68333333333,"cha","tor",-11,2016-04-05,11,94.4097222222292,5.59027777777082,22.7586206896687,2.87774299479216,85.4924479166598,96.7160590277707,11.2236111111108
"98","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,58,21.75,"cha","tor",-14,2016-04-05,14,54.6875,45.3125,10.3703703703704,0.242177871995303,88.51953125,104.33203125,15.8125
"99","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,37,43,27.3333333333,"cha","tor",-6,2016-04-05,6,43.055555555625,56.944444444375,3.96683678449375,0.0771267832841295,92.9479166665984,101.225694444373,8.277777777775
"100","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,56,22.3,"cha","tor",-12,2016-04-05,12,53.5416666666667,46.4583333333333,8.77918225319365,0.200953016716885,89.6453125,103.503645833333,13.8583333333333
"101","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,53,71,15.05,"cha","tor",-18,2016-04-05,18,68.6458333333333,31.3541666666667,16.0092260809183,0.502420834344907,83.80546875,103.059635416667,19.2541666666667
"102","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,20,37.5,"cha","tor",-4,2016-04-05,4,21.875,78.125,2.25912997889962,0.0340900337763117,92.7578125,99.8828125,7.125
"103","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,49,66,17.0833333333,"cha","tor",-17,2016-04-05,17,64.4097222222917,35.5902777777083,14.1981984551775,0.402475960902723,83.9674479165984,102.391059027707,18.4236111111083
